cod_ibge,nome,porcentagem_pop_urbana_2010,densidade_demografica_2010,area_km2
1715002,NOVA ROSALÂNDIA,65.46,7.3,514.791
1715101,NOVO ACORDO,81.95,1.41,2678.262
2100105,AFONSO CUNHA,54.8,15.9,371.338
1715150,NOVO ALEGRE,74.32,11.42,200.412
4312385,MONTE BELO DO SUL,28.84,39.05,69.726
2930709,SIMÕES FILHO,89.6,586.65,201.418
2930758,SÍTIO DO MATO,57,6.88,1627.806
2204154,FRANCISCO MACEDO,40.26,18.54,179.245
1503903,JURUTI,33.67,5.67,8305.454
2925006,PLANALTO,60.7,25.46,769
2925105,POÇÕES,77.5,54.08,937.269
2931608,TEOLÂNDIA,34.2,46.68,289.782
2931707,TERRA NOVA,89.7,64.36,193.241
2204204,FRANCISCO SANTOS,46.31,17.47,492.191
2204303,FRONTEIRAS,65.56,14.33,777.179
2309409,NOVO ORIENTE,51.8,29.01,947.44
4314902,PORTO ALEGRE,100,2837.52,495.39
3303302,NITERÓI,100,3640.8,133.757
1505007,NOVA TIMBOTEUA,40.38,27.91,489.853
5202809,AVELINÓPOLIS,76.6,14.11,170.228
5203104,BALIZA,29.5,2.08,1780.173
2932101,UBAÍRA,44.7,27.19,659.138
2204352,GEMINIANO,22.21,11.84,440.606
2204402,GILBUÉS,57.59,2.98,3495.692
2405504,JARDIM DE ANGICOS,16.61,10.26,254.022
3108107,BONFIM,48.87,22.59,301.865
3108206,BONFINÓPOLIS DE MINAS,70.54,3.28,1850.487
3108255,BONITO DE MINAS,22.84,2.48,3936.455
3108305,BORDA DA MATA,80.14,56.85,301.108
1504000,LIMOEIRO DO AJURU,24.77,16.79,1490.186
1504059,MÃE DO RIO,82.61,59.43,469.341
1505031,NOVO PROGRESSO,70.52,0.66,38162.004
1505064,NOVO REPARTIMENTO,45.04,4.03,15398.723
1505106,ÓBIDOS,51.62,1.76,28011.041
1505205,OEIRAS DO PARÁ,39.98,7.42,3852.291
1505304,ORIXIMINÁ,63.93,0.58,107613.836
1505403,OURÉM,45.6,29,561.71
1505437,OURILÂNDIA DO NORTE,72.78,1.91,14410.567
1505486,PACAJÁ,34.39,3.38,11832.323
2100204,ALCÂNTARA,29.3,14.7,1167.964
5203500,BOM JESUS DE GOIÁS,92.9,14.75,1405.605
5209200,GUAPÓ,81.1,27.04,514.178
5209291,GUARAÍTA,60.7,11.57,205.533
3108404,BOTELHOS,76.18,44.66,334.089
3108503,BOTUMIRIM,53.41,4.14,1568.884
3108552,BRASILÂNDIA DE MINAS,86.97,5.67,2509.694
3141009,MATO VERDE,74.57,26.86,472.245
2614303,MOREILÂNDIA,61.43,27.52,404.287
3304201,RESENDE,93.79,109.35,1099.336
