ano,vacina_id,cobertura,doses,regiao_cod_ibge
2019,4,57.9,105691,5
2019,5,49.46,158418,1
2019,5,53.04,390879,2
2019,5,52.71,483802,3
2019,5,64.79,191211,4
2019,5,54.5,115423,5
2019,6,73.68,215843,1
2019,6,28.01,251442,2
2019,6,81.52,828819,3
2019,6,87.73,304409,4
2019,6,86.52,190156,5
2019,7,82.81,247044,1
2019,7,91.07,672844,2
2019,7,93.55,992532,3
2019,7,95.89,363326,4
2019,7,94.22,209780,5
2019,8,77.1,219714,1
2019,8,82.23,583220,2
2019,8,74.93,795605,3
2019,8,81.21,297012,4
2019,8,84.53,173483,5
2019,9,82.33,268854,1
2019,9,74.12,657650,2
2019,9,73.67,847574,3
2019,9,73.02,301126,4
2019,9,88.62,221096,5
2019,10,88.36,263342,1
2019,10,96.5,705468,2
2019,10,96.22,998305,3
2019,10,99.07,371357,4
2019,10,97,216970,5
2019,11,86.22,259075,1
2019,11,95.34,693760,2
2019,11,94.69,974747,3
2019,11,97.91,365232,4
2019,11,96.36,214893,5
2019,12,77.1,219714,1
2019,12,82.22,583047,2
2019,12,74.92,795317,3
2019,12,81.21,297006,4
2019,12,84.53,173461,5
2019,13,93.02,276369,1
2019,13,98.64,723493,2
2019,13,96.91,1015438,3
2019,13,99.08,368833,4
2019,13,98.56,219880,5
2019,14,85.89,251996,1
2019,14,93.95,672730,2
2019,14,92.04,947550,3
2019,14,97.38,354455,4
2019,14,96.49,213394,5
2019,15,84.84,248833,1
2019,15,93.21,676162,2
2019,15,92.35,973701,3
2019,15,94.91,354005,4
2019,15,94.86,208461,5
2019,16,50.11,173196,1
2019,16,57.33,477264,2
2019,16,74.15,790365,3
2019,16,91.47,316625,4
2019,16,76.81,165916,5
2019,17,71.22,211378,1
2019,17,80.66,581863,2
2019,17,84.05,873028,3
2019,17,89.02,324694,4
2019,17,86.13,190399,5
2019,18,83.63,251667,1
2019,18,94.56,686872,2
2019,18,94.79,986253,3
2019,18,96.98,360024,4
2019,18,95.14,211731,5
2019,19,74.17,210601,1
2019,19,7.29,49485,2
2019,19,12.39,183460,3
2019,19,91.01,336096,4
2019,19,86.13,189093,5
2019,21,60.85,165017,1
2019,21,67.04,465459,2
2019,21,62.78,650474,3
2019,21,76.04,266191,4
2019,21,65.08,121663,5
2019,22,94.15,275972,1
2019,22,103.57,771689,2
2019,22,102.44,1083349,3
2019,22,98.39,368432,4
2019,22,98.56,222816,5
2019,23,82.11,241385,1
2019,23,85.61,623751,2
2019,23,90.21,954518,3
2019,23,96.24,358770,4
2019,23,93.5,205588,5
2020,1,73.14,248220,1
2020,1,66.13,587577,2
2020,1,75.68,833968,3
2020,1,84.14,345174,4
2020,1,78.87,194451,5
2020,3,49.32,161118,1
2020,3,53.75,377338,2
2020,3,54.79,476010,3
2020,3,64.68,209509,4
2020,3,61.67,130978,5
2020,4,55.09,180935,1
2020,4,60.3,506417,2
2020,4,80.17,868945,3
2020,4,96.02,325294,4
2020,4,83.79,176675,5
2020,5,25.56,87568,1
2020,5,31.67,216854,2
2020,5,28.1,213777,3
2020,5,25.97,102023,4
2020,5,22.86,46663,5
2020,6,61.13,171765,1
2020,6,33.68,274541,2
2020,6,73.78,758779,3
2020,6,87.3,282028,4
2020,6,76.99,168140,5
2020,7,68.72,200076,1
2020,7,79.77,571602,2
2020,7,85.08,889437,3
2020,7,97.86,341739,4
2020,7,87.27,193895,5
2020,8,71.87,198895,1
2020,8,81.51,564056,2
2020,8,90.16,952035,3
2020,8,100.84,348038,4
2020,8,91.32,194810,5
2020,9,63.91,226420,1
2020,9,60.84,551113,2
2020,9,59.87,650850,3
2020,9,56.91,270313,4
2020,9,69.78,172177,5
2020,10,75.77,221820,1
2020,10,84.38,612145,2
2020,10,87.31,906205,3
2020,10,98.28,353428,4
2020,10,91.04,203351,5
2020,11,73.31,214486,1
2020,11,82.11,593838,2
2020,11,85.54,879880,3
2020,11,97.41,336770,4
2020,11,89.34,195358,5
2020,12,71.87,198895,1
2020,12,81.51,564056,2
2020,12,90.16,952035,3
2020,12,100.84,348038,4
2020,12,91.32,194810,5
2020,13,79.54,236209,1
2020,13,86.92,641057,2
2020,13,89.42,930746,3
2020,13,99.87,359826,4
2020,13,94.4,210329,5
2020,14,71.01,209781,1
2020,14,80.74,558348,2
2020,14,81.55,826880,3
2020,14,92.8,303896,4
2020,14,86.34,190292,5
2020,15,70.58,203709,1
2020,15,82.43,588085,2
2020,15,86.04,896286,3
2020,15,97.55,342815,4
2020,15,89.57,195435,5
2020,16,47.29,153090,1
2020,16,55.01,456777,2
2020,16,71.52,790168,3
2020,16,94.73,320731,4
2020,16,79.07,171695,5
2020,17,63.36,179392,1
2020,17,73.47,513962,2
2020,17,77.6,810422,3
2020,17,93.88,318725,4
2020,17,81.88,178905,5
2020,18,72.54,212469,1
2020,18,82.42,600646,2
2020,18,86.81,900767,3
